BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
Delicias Del Caribe,,149 Stoughton,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/28/09 15:25,16173793381,131112,"(42.314644, -71.060322)"
DEM & TED INC.  PIZZA SHUTTLE,,239 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16170000000,158185,"(42.375806, -71.038929)"
DENO'S SUBS & PIZZA,,2040 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16174698757,155703,"(42.280288, -71.158001)"
Derne Street Deli,,14 Derne,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,10/4/12 9:24,16177421449,47444,"(42.35953, -71.06344)"
Designer Cafe'(Au Bon Pain),,1 DESIGN CENTER,BOSTON,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16178975079,,"(42.3594, -71.0587)"
DESTINO'S PIZZA,,1505 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,4/4/12 15:16,16173334334,77156,"(42.24745, -71.12803)"
DIM SUM CHEF  INC.,,1 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172542073,157732,"(42.352411, -71.125329)"
DIMITRIOS HOUSE OF PIZZA,,1750 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178253086,157311,"(42.290228, -71.062881)"
DING HO FAST FOOD,,88 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174263126,156805,"(42.35073, -71.061239)"
Dip It Sweet,,94 Endicott,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,4/17/12 11:03,17814261960,53893,"(42.364175, -71.057435)"
Dirty Water Dough Company,,222 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,3/5/13 13:30,16172620090,101439,"(42.34975, -71.08108)"
Discovery Cafe,,3 Blackfan,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,6/28/13 12:54,16172271333,15784,"(42.33901, -71.104249)"
Dog House,,300 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,3/25/07 11:26,10000000000,,"(42.3594, -71.0587)"
DOLCE VITA (1696 Comm. Ave.),,1696 Commonwealth,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,11/10/11 8:24,10000000000,163787,"(42.341247, -71.146504)"
Domino's Pizza,,110 Staniford,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,6/20/07 10:30,19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,1144 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16176697072,122464,"(42.3846, -71.00029)"
Domino's Pizza,,1252 Boylston,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,6/20/07 11:02,19786974396,18073,"(42.344737, -71.095964)"
Domino's Pizza,,1400 Tremont,ROXBURY,MA,2119,Active,FT,Eating & Drinking w/ Take Out,6/20/07 9:15,19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,4000 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,4/30/13 9:58,16173230525,145054,"(42.29232, -71.12155)"
Domino's Pizza,,464 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/20/07 11:27,19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,4640 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,6/20/07 9:46,19786974396,145317,"(42.275474, -71.139042)"
Domino's Pizza,,7 Craftsman,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,6/20/07 10:51,19786974396,154051,"(42.353869, -71.13572)"
DOMINO'S PIZZA (277 MAIN ST. CHASN.),,277 Main,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,7/31/12 9:33,10000000000,88499,"(42.37749, -71.06668)"
Domino's Pizza (695 Truman Pkwy),,695 Truman,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,11/2/12 9:56,16173646550,154866,"(42.25246, -71.11896)"
Domino's Pizza (Adams Street),,197 Adams,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,4/17/12 12:57,15085201000,340950,"(42.301927, -71.060226)"
Domino's Pizza (Dufficy Ent.),,1672 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,1/10/13 8:23,16172822424,16348,"(42.267624, -71.093257)"
Domino's Pizza(163 Old Colony Ave.),,163 Old Colony,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,8/8/12 9:22,16172682900,105071,"(42.33403, -71.05504)"
DONNA'S RESTAURANT,,978 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175689314,157089,"(42.387008, -71.007351)"
Donut-N-Donuts Inc.,,1 Sullivan,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,5/21/08 12:26,16178869080,157266,"(42.377781, -71.06708)"
Double Tree Club Hotel/Starbucks,,821 WASHINGTON,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,5/18/09 9:04,16179565180,,"(42.3594, -71.0587)"
Dough East Boston,,20 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/29/07 13:58,16173082228,92987,"(42.371665, -71.042087)"
Doughboy Donuts & Deli,,220 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/3/12 9:02,16172697560,48549,"(42.34012, -71.05676)"
Down Home Delivery & Catering,,2 Bowdoin,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,10/1/10 9:31,16172880813,17676,"(42.29962, -71.07332)"
Dragon Bowl,,396 Brookline,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,1/4/08 13:41,17818886896,22101,"(42.33829, -71.10695)"
DRAGON CHEF CHINESE REST.,,411 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16177826500,156051,"(42.349266, -71.15532)"
Dudley Square Grille(tm),,150 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16179890200,49636,"(42.32881, -71.08328)"
Dugout Inseat,,4 Yawkey,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,3/8/11 8:54,16175366683,156417,"(42.346723, -71.09868)"
Dumpling King,,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/17/10 8:52,16175922383,340723,"(42.351624, -71.061017)"
DUNKIN DONUT,,16 KNEELAND,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16176950546,,"(42.3594, -71.0587)"
DUNKIN DONUT,,326 Congress,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,12420740000,42100,"(42.35118, -71.04926)"
Dunkin Donuts,,1 Harbor,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,7/31/08 10:59,16174644001,,"(42.3594, -71.0587)"
Dunkin Donuts,,100 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,5/15/07 16:47,16175234443,25222,"(42.360584, -71.062109)"
Dunkin Donuts,,100 Service,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,10/14/08 10:38,16175411911,157261,"(42.36914, -71.029816)"
Dunkin Donuts,,115 FORSYTH,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16176500372,,"(42.3594, -71.0587)"
Dunkin Donuts,,1200 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173642010,157265,"(42.257869, -71.12321)"
Dunkin Donuts,,127 Tremont,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10004644001,136811,"(42.356395, -71.061879)"
Dunkin Donuts,,153 Massachusetts,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16177334679,156453,"(42.346437, -71.087599)"
Dunkin Donuts,,1580 Dorchester,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10009610808,157565,"(42.296914, -71.060388)"
Dunkin Donuts,,179 BRIGHTON ,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16177873462,,"(42.3594, -71.0587)"
Dunkin Donuts,,1931 DORCHESTER ,DORCHESTER,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10002963737,,"(42.3594, -71.0587)"
Dunkin Donuts,,1955 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,3/4/09 13:55,16177380530,10044,"(42.33575, -71.14991)"
Dunkin Donuts,,210 HARVARD,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,3/26/09 13:25,16172323402,,"(42.3594, -71.0587)"
Dunkin Donuts,,214 NORTH BEACON,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172549433,,"(42.3594, -71.0587)"
Dunkin Donuts,,218 Congress,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,8/29/07 12:06,16173503194,42092,"(42.35449, -71.05422)"
Dunkin Donuts,,31 WM C KELLY,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,19788981250,,"(42.3594, -71.0587)"
Dunkin Donuts,,315 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10007392117,27970,"(42.323016, -71.103877)"
Dunkin Donuts,,417 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172415219,157146,"(42.35583, -71.0604)"
Dunkin Donuts,,4175 WASHINGTON,ROSLINDALE,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16173239851,,"(42.3594, -71.0587)"
Dunkin Donuts,,510 Southampton,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172699894,129078,"(42.32975, -71.05739)"
Dunkin Donuts,,53 Huntington,BOSTON,MA,2199,Active,FT,Eating & Drinking w/ Take Out,1/10/08 14:36,16177334679,,"(42.3594, -71.0587)"
Dunkin Donuts,,598 WASHINGTON,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,8/7/07 13:10,16172542600,,"(42.3594, -71.0587)"
Dunkin Donuts,,60 Everett,Brighton,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16176662083,55003,"(42.35654, -71.13923)"
Dunkin Donuts,,616 MASSACHUSETTS ,BOSTON,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175411911,,"(42.3594, -71.0587)"
Dunkin Donuts,,70 EAST INDIA ,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10000000000,,"(42.3594, -71.0587)"
Dunkin Donuts,,711 Atlantic,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,3/5/10 11:20,16174644001,6320,"(42.35116, -71.05667)"
Dunkin Donuts,,715 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16172677153,18382,"(42.34965, -71.08001)"
Dunkin Donuts,,750 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172415788,158017,"(42.350078, -71.063059)"
Dunkin Donuts,,77 MILK ST,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,4/11/07 11:32,16174511057,,"(42.3594, -71.0587)"
Dunkin Donuts,,855 WM T MORRISSEY ,DORCHESTER,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,10009641573,,"(42.3594, -71.0587)"
Dunkin' Donuts,,1 DEACONESS,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172328052,,"(42.3594, -71.0587)"
Dunkin' Donuts,,106 Cambridge,BOSTON,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10003676985,,"(42.3594, -71.0587)"
Dunkin' Donuts,,1131 Tremont,Boston,MA,2120,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175411911,158048,"(42.335545, -71.088188)"
Dunkin' Donuts,,1236 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10002825500,156562,"(42.308431, -71.058031)"
DUNKIN' DONUTS,,16 Tremont,CHARLESTOWN,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174644001,156390,"(42.3594, -71.0587)"
Dunkin' Donuts,,1926 Columbus,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175411911,157214,"(42.317029, -71.098011)"
Dunkin' Donuts,,21 AUSTIN,CHARLESTOWN,MA,2129,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172415917,,"(42.3594, -71.0587)"
Dunkin' Donuts,,22 Beacon,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174644001,157525,"(42.357706, -71.062899)"
Dunkin' Donuts,,2290 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10002982304,156550,"(42.272382, -71.067789)"
Dunkin' Donuts,,235 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172481987,158162,"(42.358127, -71.058161)"
Dunkin' Donuts,,2360 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16174272800,144493,"(42.32937, -71.08446)"
Dunkin' Donuts,,256 Boston,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10000000000,17156,"(42.32087, -71.06091)"
Dunkin' Donuts,,268 Summer,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,1617000000,131990,"(42.350514, -71.050275)"
Dunkin' Donuts,,283 HUNTINGTON ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16177334679,,"(42.3594, -71.0587)"
Dunkin' Donuts,,430 Stuart,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174644001,131662,"(42.34841, -71.07503)"
Dunkin' Donuts,,482 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10008280298,157195,"(42.335603, -71.045528)"
Dunkin' Donuts,,7 Otis,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16174628036,155914,"(42.356918, -71.072351)"
Dunkin' Donuts,,7 Walk Hill,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10009831902,141731,"(42.29556, -71.1161)"
Dunkin' Donuts,,847 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10000000000,156523,"(42.32179, -71.05698)"
Dunkin' Donuts,,99 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172429406,25211,"(42.38254, -71.0792)"
DUNKIN DONUTS',,20 North,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,19788981250,103543,"(42.360691, -71.056346)"
DUNKIN DONUTS',,333 Newbury,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,19784794741,156255,"(42.348738, -71.086508)"
DUNKIN DONUTS',,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,19784201220,157244,"(42.347296, -71.081457)"
DUNKIN DONUTS',,9 MELNEA CASS ,ROXBURY,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175411911,,"(42.3594, -71.0587)"
Dunkin Donuts # 1 (#52),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/24/07 15:06,12159970667,,"(42.3594, -71.0587)"
Dunkin Donuts (1447 Tremont St.),,1447 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,7/5/12 10:15,10000000000,320696,"(42.33198, -71.09681)"
Dunkin Donuts (209 North Harvard St.),,209 NORTH HARVARD,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16172545475,,"(42.3594, -71.0587)"
Dunkin Donuts (219 Cambridge),,219 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,1/26/09 10:52,16177871608,25092,"(42.358225, -71.126256)"
Dunkin Donuts (48 W Broadway),,48 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,6/28/12 10:48,16174644001,160890,"(42.342384, -71.055735)"
Dunkin Donuts (895 Morton St.),,895 Morton,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,3/8/12 14:22,16175411911,97821,"(42.28044, -71.084139)"
DUNKIN DONUTS (ALLSTON),,509 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16178166882,25147,"(42.35342, -71.138458)"
DUNKIN DONUTS (BAY ROAD),,684 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,17817184971,157290,"(42.311843, -71.114001)"
Dunkin Donuts (Canal St.),,168 Canal,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/11/06 13:17,16173888884,25420,"(42.365016, -71.061179)"
DUNKIN DONUTS (CARNEY),,2100 DORCHESTER ,DORCHESTER,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17819536925,,"(42.3594, -71.0587)"
Dunkin Donuts (Causeway St.),,55 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,3/31/07 11:15,16173675757,26612,"(42.36431, -71.06294)"
DUNKIN DONUTS (CITY PLACE),,8 Park,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172415219,158173,"(42.351362, -71.06874)"
Dunkin Donuts (Kenmore Sq. Donuts),,530 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,6/8/12 8:10,16122367673,157953,"(42.348498, -71.09629)"
DUNKIN' DONUTS (LEGION DONUTS),,684 American Legion,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10005243853,156647,"(42.283596, -71.112514)"
Dunkin Donuts (T-E Post Security),,500 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/21/11 9:52,16172765428,341351,"(42.3594, -71.0587)"
Dunkin Donuts (TRMNL-C Baggage Area),,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/14/11 9:46,10000000000,341352,"(42.3594, -71.0587)"
Dunkin Donuts (V.F.W. Pkwy.),,1435 V F W ,WEST ROXBURY,MA,2132,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16173253107,,"(42.3594, -71.0587)"
DUNKIN DONUTS (WEST ROXBURY),,5305 Washington,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16173393331,145711,"(42.25864, -71.16071)"
DUNKIN DONUTS (WTC),,200 SEAPORT,BOSTON,MA,2210,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174644001,,"(42.3594, -71.0587)"
DUNKIN DONUTS @ HAYDEN HALL,,330 HUNTINGTON ,BOSTON,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172655800,,"(42.3594, -71.0587)"
Dunkin Donuts @ MBTA Station,,145 Dartmouth,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,4/3/08 14:33,16172677153,46313,"(42.34738, -71.07484)"
Dunkin Donuts @ Stop & Shop,,1100 MASSACHUSETTS ,DORCHESTER,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172888361,,"(42.3594, -71.0587)"
Dunkin Donuts at Old Colony,,75 OLD COLONY ,SOUTH BOSTON,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178280298,,"(42.3594, -71.0587)"
DUNKIN DONUTS BLUE HILL AVE,,456 Blue Hill,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175411911,157922,"(42.309398, -71.08204)"
Dunkin' Donuts Express,,145 DARTHMOUTH,BOSTON,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10003916496,,"(42.3594, -71.0587)"
Dunkin Donuts Kiosk,,640 Atlantic,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/20/11 10:50,16173503194,156474,"(42.350021, -71.055941)"
Dunkin Donuts North Station,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/17/07 9:51,16173674301,,"(42.3594, -71.0587)"
Dunkin Donuts Space #57,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/17/07 8:19,12159970667,,"(42.3594, -71.0587)"
Dunkin Donuts Space #86,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/17/07 8:25,12159970667,,"(42.3594, -71.0587)"
Dunkin Donuts(757 Centre St.),,757 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175249420,28193,"(42.31045, -71.11519)"
DUNKIN DONUTS(ARRIVAL),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172655800,,"(42.3594, -71.0587)"
Dunkin' Donuts(C.A. Donuts),,155 Spring,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173239128,129544,"(42.27646, -71.16677)"
DUNKIN DONUTS(DEPARTURE),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172655800,,"(42.3594, -71.0587)"
DUNKIN DONUTS(FRANKLIN),,265 Franklin,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174644001,60665,"(42.35651, -71.05332)"
DUNKIN' DONUTS(RMG DONUTS LLC),,13 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175694919,92866,"(42.368982, -71.039212)"
DUNKIN' DONUTS(RMG DONUTS LLC),,951 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175694919,14946,"(42.38589, -71.00835)"
DUNKIN DONUTS(SATELLITE),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175411911,,"(42.3594, -71.0587)"
Dunkin Donuts(Seton Bldg.),,2100 DORCHESTER,Dorchester Center,MA,2124,Active,FT,Eating & Drinking w/ Take Out,5/16/11 11:45,16172964000,0,"(42.3594, -71.0587)"
DUNKIN DONUTS(STATION DONUTS),,4610 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17813440172,157298,"(42.275401, -71.139268)"
DUNKIN DONUTS(WOLCOTT SQ. LLC),,942 HYDE PARK ,HYDE PARK,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16176996069,,"(42.3594, -71.0587)"
Dunkin Donuts/1138 Washington St.,,1138 Washington,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174749937,158234,"(42.343695, -71.065841)"
Dunkin Donuts/Airside,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/27/07 10:55,16175411911,,"(42.3594, -71.0587)"
DUNKIN DONUTS/BASKIN ROBBINS,,1631 TREMONT,ROXBURY,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172328770,,"(42.3594, -71.0587)"
DUNKIN' DONUTS/BASKIN ROBINS,,80 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175424606,155859,"(42.352225, -71.064909)"
DUNKIN DONUTS/BEE FINE FOODS,,50 SUDBURY,BOSTON,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10003671981,,"(42.3594, -71.0587)"
DUNKIN DONUTS/FIRST DONUTS INC,,1 ACCOLON ,BOSTON,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16176242841,,"(42.3594, -71.0587)"
DUNKIN DONUTS/GALLERIA,,340 Longwood,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172415219,156613,"(42.338284, -71.106989)"
DUNKIN DONUTS/GALLIVAN,,719 GALLIVAN ,DORCHESTER,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17818285896,,"(42.3594, -71.0587)"
DUNKIN DONUTS/HYDE PK AVE,,1800 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17813952060,156665,"(42.237883, -71.132132)"
DUNKIN DONUTS/PLAZA ENT,,66 CORNHILL,BOSTON,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16173675757,,"(42.3594, -71.0587)"
DUNKIN DONUTS/SCNVANOS,,440 MASSACHUSETTS ,BOSTON,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,19788981250,,"(42.3594, -71.0587)"
DUNKIN DONUTS/WALDWIN GROUP,,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/22/07 14:49,16175411911,,"(42.3594, -71.0587)"
DUNKIN' DONUTS/WATERMARK,,1 Summer,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16177829102,131977,"(42.3547, -71.06024)"
Dunkin Donuts-Amer Airlines/Landside,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/4/07 10:07,16175411911,,"(42.3594, -71.0587)"
Dunkin Donuts-Govt. Ctr.-MBTA,,0 Government Center,Boston,MA,2201,Active,FT,Eating & Drinking w/ Take Out,8/1/07 15:36,10003676985,,"(42.3594, -71.0587)"
DUNKIN DONUTS-U S AIR,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/4/07 9:52,16175411911,,"(42.3594, -71.0587)"
DUNKIN' DONUTS-WATERMARK,,111 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175231451,130369,"(42.359035, -71.054823)"
DUNKIN/DONUT/WATERMARK,,630 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174643796,158089,"(42.352216, -71.062379)"
DUNKIN'DONUTS/WATERMARK,,101 Summer,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174644001,131979,"(42.35362, -71.05824)"
E.B. Crown Fried Chicken & Pizza,,50 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/20/13 9:54,16175671162,92897,"(42.37017, -71.03868)"
