BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
Archie's Place,,227 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2/19/13 10:28,16177233354,171030,"(42.357884, -71.058215)"
ARIS BARBEQUE,,200 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,4/12/07 10:00,16177422947,,"(42.3594, -71.0587)"
Arizona B B Q,,2360 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,3/4/08 14:08,16174422999,144493,"(42.32937, -71.08446)"
ASAKI,,418 Market,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175626333,158260,"(42.349342, -71.153159)"
Asia Wok,,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/3/07 9:44,16172545445,70391,"(42.354462, -71.13227)"
Asian House,,99 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,9/5/13 9:04,17818546253,201093,"(42.38254, -71.0792)"
Asian Too Express,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/18/08 13:37,16175617180,,"(42.3594, -71.0587)"
Au Bon Pain,,101 Merrimac,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,94693,"(42.36384, -71.06166)"
Au Bon Pain,,17 Blackfan,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,153922,"(42.337388, -71.106281)"
Au Bon Pain,,26 PARK PLAZA,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain,,310 Congress,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,3/31/07 10:36,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain,,431 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,18327,"(42.35161, -71.07284)"
Au Bon Pain,,53 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,157026,"(42.35875, -71.056199)"
Au Bon Pain,,75 FRANCIS,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,158148,"(42.336106, -71.10748)"
AU BON PAIN (4TH FL),,133 BROOKLINE,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/2/07 10:01,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Cambridge St.),,209 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Food Court U S Air),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/5/07 9:00,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Joslin Pl.),,1 Joslin,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,5/10/12 11:20,16174232100,166640,"(42.3386, -71.108501)"
Au Bon Pain (Space 31),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/21/07 12:55,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Space 49),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/08 9:52,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Space 58),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/08 10:30,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (US Airways),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/21/07 13:20,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain Kiosk (1st Fl.),,53 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,4/5/13 10:46,16177238483,157026,"(42.35875, -71.056199)"
Au Bon Pain Outdoor Cafe,,310 Congress,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,6/8/07 11:46,16178975079,341039,"(42.355105, -71.049245)"
Au Bon Pain Store # 44,,90 OLIVER,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,,"(42.3594, -71.0587)"
Au Bon Pain Store 511,,640 Atlantic,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178975079,156474,"(42.350021, -71.055941)"
AUNTIE ANNE'S (#MA 110),,700 Atlantic,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16173309799,156723,"(42.3594, -71.0587)"
Auntie Anne's (Trmnl B  Gate A 18),,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/9/11 9:03,16176246006,341353,"(42.3594, -71.0587)"
AUNTIE VIE'S BAKERY & CAFE,,480 Washington,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,3/11/13 10:30,19788213519,146092,"(42.29469, -71.07168)"
Avana Express Bar,,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,5/13/13 14:02,19173531653,340723,"(42.351624, -71.061017)"
Avana Market Place,,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,4/3/09 10:23,16174263331,69834,"(42.351664, -71.060968)"
Azama Grill,,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/30/09 8:22,16174477646,70391,"(42.354462, -71.13227)"
B I DEACONESS/WEST END CAFE,,1 DEACONESS,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10006675634,,"(42.3594, -71.0587)"
B. U. Einsteins Bagels,,685 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173532947,157907,"(42.350117, -71.104278)"
B.U. HEALTHY BLENDS,,915 COMMONWEALTH ,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16173532947,,"(42.3594, -71.0587)"
B.U. SCHOOL OF LAW CART,,765 COMMONWEALTH ,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173532947,,"(42.3594, -71.0587)"
