Year,BOS,SF,NYC
1990,2051,557,1084
1991,2092,651,1182
1992,2310,658,1073
1993,2343,670,1133
1994,2476,682,1193
1995,2318,801,1132
1996,2588,921,1270
1997,2747,1145,1228
1998,3688,1707,1749
1999,3806,1700,1704
