,New York total creative occuption,Boston total creative occupation,New York percentage creative,Boston percentage creative
2006,140737,10145,0.037904556,0.034068661
2007,145821,8782,0.038308098,0.027963077
2008,158052,9270,0.04025824,0.02834611
2009,154961,12108,0.040453845,0.034824225
2010,138828,11261,0.037533376,0.035384132
2011,151694,9807,0.040621999,0.030983726
2012,153867,9833,0.040110875,0.029612921
