,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
BOS,2051,2092,2310,2343,2476,2318,2588,2747,3688,3806
SF,557,651,658,670,682,801,921,1145,1707,1700
NYC,1084,1182,1073,1133,1193,1132,1270,1228,1749,1704
