County Name,District Name,Select  School name below for details,Status,Zip Code
San Francisco,San Francisco Unified,Noriega Children Center,Active ,94122
San Francisco,San Francisco Unified,O'Connell (John) High,Active ,94110-2010 
San Francisco,San Francisco Unified,Ortega (Jose) Elementary,Active ,94132-3152 
San Francisco,San Francisco Unified,Parker (Jean) Elementary,Active ,94133-4219 
San Francisco,San Francisco Unified,Parks (Rosa) Elementary,Active ,94115-3762 
San Francisco,San Francisco Unified,Peabody (George) Elementary,Active ,94118-2311 
San Francisco,San Francisco Unified,Presidio Children Center,Active ,94129
San Francisco,San Francisco Unified,Presidio Middle,Active ,94121-1766 
San Francisco,San Francisco Unified,Redding Elementary,Active ,94109-4719 
San Francisco,San Francisco Unified,Revere (Paul) Elementary,Active ,94110-6144 
San Francisco,San Francisco Unified,Rooftop Elementary,Active ,94131
San Francisco,San Francisco Unified,Roosevelt Middle,Active ,94118-2505 
San Francisco,San Francisco Unified,S.F. International High,Active ,94110
San Francisco,San Francisco Unified,San Francisco Community Alternative,Active ,94112-2041 
San Francisco,San Francisco Unified,San Francisco Public Montessori,Active ,94115-1323 
San Francisco,San Francisco Unified,San Miguel Children Center,Active ,94112
San Francisco,San Francisco Unified,Sanchez Elementary,Active ,94114-1615 
San Francisco,San Francisco Unified,Serra (Junipero) Elementary,Active ,94110-5815 
San Francisco,San Francisco Unified,Sheridan Elementary,Active ,94112-2934 
San Francisco,San Francisco Unified,Sherman Elementary,Active ,94123-4506 
San Francisco,San Francisco Unified,Sloat (Commodore) Elementary,Active ,94127-1902 
San Francisco,San Francisco Unified,Spring Valley Elementary,Active ,94109-3115 
San Francisco,San Francisco Unified,Stevenson (Robert Louis) Elementary,Active ,94116-1109 
San Francisco,San Francisco Unified,Stockton (Commodore) Children Center,Active ,94108
San Francisco,San Francisco Unified,Sunnyside Elementary,Active ,94112-1341 
San Francisco,San Francisco Unified,Sunset Elementary,Active ,94116
San Francisco,San Francisco Unified,Sutro Elementary,Active ,94118-2103 
San Francisco,San Francisco Unified,Taylor (Edward R.) Elementary,Active ,94134-1449 
San Francisco,San Francisco Unified,Tenderloin Community,Active ,94102
San Francisco,San Francisco Unified,Tule Elk Park Children Center,Active ,94123
San Francisco,San Francisco Unified,Ulloa Elementary,Active ,94116-2714 
San Francisco,San Francisco Unified,Visitacion Valley Elementary,Active ,94134-2742
San Francisco,San Francisco Unified,Visitacion Valley Middle,Active ,94134-2354 
San Francisco,San Francisco Unified,Wallenberg (Raoul) Traditional High,Active ,94115-3826 
San Francisco,San Francisco Unified,Washington (George) High,Active ,94121-2733 
San Francisco,San Francisco Unified,Webster (Daniel) Elementary,Active ,94107-2826 
San Francisco,San Francisco Unified,Weill (Raphael) Children Center,Active ,94115-3762 
San Francisco,San Francisco Unified,Wells (Ida B.) High,Active ,94117-1621 
San Francisco,San Francisco Unified,West Portal Elementary,Active ,94127-1111 
San Francisco,San Francisco Unified,Yick Wo Elementary,Active ,94133-2207 
San Francisco,San Francisco Unified,Yu (Alice Fong) Elementary,Active ,94122-3503 
San Francisco,SBE - Mission Preparatory,Mission Preparatory,Active ,94112
San Francisco,SBE - San Francisco Flex Academy,San Francisco Flex Academy,Active ,94102-1228 
