Van Cortlandt Park-242 St 1 train icon ,Van Cortlandt Park-242 St,"6,040","6,148","(40.889248, -73.898583)"
Wakefield-241 St 2 train icon,Wakefield-241 St,"4,212","4,582","(40.903125, -73.850620)"
West Farms Sq-East Tremont Av  2 train icon 5 train icon,West Farms Sq-East Tremont Av ,"7,270","8,052","(40.840295, -73.880049)"
Westchester Sq-East Tremont Av  6 train icon,Westchester Sq-East Tremont Av ,"6,178","6,359","(40.839892, -73.842952)"
Whitlock Av 6 train icon,Whitlock Av,"1,528",524,"(40.826525, -73.886283)"
Woodlawn 4 train icon,Woodlawn,"6,980","7,513","(40.886037, -73.878751)"
Zerega Av 6 train icon,Zerega Av,"2,404","2,539","(40.836488, -73.847036)"
15 St-Prospect Park F train icon G train icon,15 St-Prospect Park,"5,977","6,220","(40.660365, -73.979493)"
18 Av D train icon ,18 Av,"5,611","5,699","(40.620671, -73.990414)"
18 Av F train icon,18 Av,"4,008","4,145","(40.620671, -73.990414)"
18 Av N train icon,18 Av,"5,227","5,049","(40.620671, -73.990414)"
20 Av D train icon,20 Av,"4,531","4,517","(40.617410, -73.985026)"
20 Av N train icon,20 Av,"4,108","3,903","(40.617410, -73.985026)"
25 Av D train icon,25 Av,"4,304","4,318","(40.597704, -73.986829)"
25 St R train icon,25 St,"3,736","3,812","(40.597704, -73.986829)"
36 St D train icon N train icon R train icon,36 St,"10,852","11,135","(40.655144, -74.003549)"
4 Av F train icon G train icon/9 St R train icon ,4 Av,"10,895","11,412","(40.670272, -73.989779)"
45 St R train icon,45 St,"7,171","7,059","(40.648939, -74.010006)"
50 St D train icon,50 St,"3,130","3,129","(40.636260, -73.994791)"
53 St R train icon,53 St,"7,460","7,423","(40.645069, -74.014034)"
55 St D train icon,55 St,"1,925","1,944","(40.631435, -73.995476)"
59 St  N train icon R train icon,59 St ,"11,756","11,979","(40.641362, -74.017881)"
7 Av B train icon Q train icon,7 Av,"9,568","9,614","(40.677050, -73.972367)"
7 Av F train icon G train icon,7 Av,"10,643","11,018","(40.677050, -73.972367)"
71 St D train icon,71 St,"4,270","4,365","(40.619589, -73.998864)"
77 St R train icon,77 St,"5,080","5,146","(40.629742, -74.025510)"
79 St D train icon ,79 St,"5,577","5,733","(40.613501, -74.000610)"
