GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35091,35091,"ZIP 35091 (Kimberly, AL)",00,Total for all sectors,2011,12,36,729,1409
8610000US35094,35094,"ZIP 35094 (Leeds, AL)",00,Total for all sectors,2011,340,3855,26676,114037
8610000US35096,35096,"ZIP 35096 (Lincoln, AL)",00,Total for all sectors,2011,129,5179,70150,271251
8610000US35097,35097,"ZIP 35097 (Locust Fork, AL)",00,Total for all sectors,2011,18,131,479,1875
8610000US35098,35098,"ZIP 35098 (Logan, AL)",00,Total for all sectors,2011,7,30,91,367
8610000US35111,35111,"ZIP 35111 (Mc Calla, AL)",00,Total for all sectors,2011,172,3444,24465,106982
8610000US35112,35112,"ZIP 35112 (Margaret, AL)",00,Total for all sectors,2011,4,8,66,223
8610000US35114,35114,"ZIP 35114 (Maylene, AL)",00,Total for all sectors,2011,39,c,863,3450
8610000US35115,35115,"ZIP 35115 (Montevallo, AL)",00,Total for all sectors,2011,175,1774,11986,52285
8610000US35116,35116,"ZIP 35116 (Morris, AL)",00,Total for all sectors,2011,39,220,1792,7646
8610000US35117,35117,"ZIP 35117 (Mount Olive, AL)",00,Total for all sectors,2011,54,285,1559,6903
8610000US35118,35118,"ZIP 35118 (Mulga, AL)",00,Total for all sectors,2011,35,261,1784,8350
8610000US35119,35119,"ZIP 35119 (New Castle, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35120,35120,"ZIP 35120 (Odenville, AL)",00,Total for all sectors,2011,105,483,2725,13080
8610000US35121,35121,"ZIP 35121 (Oneonta, AL)",00,Total for all sectors,2011,318,3532,23974,102783
8610000US35123,35123,"ZIP 35123 (Palmerdale, AL)",00,Total for all sectors,2011,4,29,83,363
8610000US35124,35124,"ZIP 35124 (Pelham, AL)",00,Total for all sectors,2011,1044,13724,122619,527543
8610000US35125,35125,"ZIP 35125 (Pell City, AL)",00,Total for all sectors,2011,324,5236,37912,155802
8610000US35126,35126,"ZIP 35126 (Pinson, AL)",00,Total for all sectors,2011,227,1737,12065,55061
8610000US35127,35127,"ZIP 35127 (Pleasant Grove, AL)",00,Total for all sectors,2011,72,760,3822,16848
